"video_id","title","channel_title","published_at","view_count","like_count","comment_count","category_id","category_name"
"M5vxJpSsM_M","Street Fighter 6 - Yasmine Gameplay Trailer","Street Fighter","2026-06-17T22:58:06Z","237984","28729","3952","20","Gaming"
"utf2lCWptPo","Playing British Roblox Games","GeorgePlays","2026-06-17T15:30:07Z","51290","3188","210","20","Gaming"
"O6Fk0VYKRFM","Usher - Hey Daddy (Daddy’s Home)(Lyrics)","Lost Panda","2026-06-10T18:40:11Z","257945","576","6","22","People & Blogs"
"locuQ-skySE","Heartstopper Forever | Official Trailer | Netflix","Netflix","2026-06-16T16:00:02Z","503671","43069","2780","24","Entertainment"
"znPUHkavlGw","GROW A GARDEN 2 ADMIN ABUSE...?","KreekCraft","2026-06-17T22:42:19Z","461353","17571","168","20","Gaming"
"tEiN7rkGztA","Olivia Rodrigo - stupid song (Behind The Scenes)","OliviaRodrigoVEVO","2026-06-17T22:00:07Z","49723","8688","685","10","Music"
"9yUSft-sbG8","SPIDER-MAN: BRAND NEW DAY TRAILER REACTION – SPIDER-MAN VS HULK?! – PUNISHER – BREAKDOWN","The Media Knights","2026-06-17T20:18:13Z","61605","5285","624","24","Entertainment"
"ipEi6kkTIlI","1000 Players Simulate HUNGER GAMES in Hardcore Minecraft","Spoke","2026-06-16T13:00:29Z","2519208","107937","23354","20","Gaming"
"ZpzLFSZ5smM","Electric Callboy - ELEVATOR OPERATOR live in BERLIN - TANZNEID WORLD TOUR","Electric Callboy","2026-06-17T15:00:36Z","43825","3948","126","10","Music"
"SMLmBabteGM","SPIDER-MAN BRAND NEW DAY TRAILER: Hulk, Sadie Sink Jean Grey & Things You Missed!","Emergency Awesome","2026-06-17T22:20:22Z","53215","3676","767","24","Entertainment"
"Yfnopcf19d4","Mecha Chameleon w/ Streamers, Mineplex & Random Games | Joe Bartolozzi","Joe Bart VODs","2026-06-17T11:13:11Z","254116","8078","425","20","Gaming"
"QXJPzNIXMKQ","Connect-R - Sa Te Pup | Official Video","Connect-R","2026-06-16T06:30:06Z","260809","7226","331","10","Music"
"mtC4sjABZNw","Hexed | Teaser Trailer","Walt Disney Animation Studios","2026-06-16T16:01:06Z","1843727","34194","5165","1","Film & Animation"
"DtzM-yPsMHg","Rainbows & Bridges! | Hermitcraft Season 11 | Ep.17","SmallishBeans","2026-06-17T15:00:33Z","133137","17320","945","20","Gaming"
"ifDPViWxIZ0","Million Dollar Minion","Yeat - Topic","2026-06-17T23:00:12Z","19914","4625","770","10","Music"
"07bwjMzdFBg","SPIDER-MAN BRAND NEW DAY TRAILER | Live Reaction + Q&A","New Rockstars","2026-06-17T21:09:25Z","70798","2760","109","24","Entertainment"
"Wj59k1EgQ24","Showing Our Moms A Horror Game","Smosh Games","2026-06-17T17:00:20Z","240239","20834","1443","20","Gaming"
"1xucibVqccc","Klepto x Ledri Vula x Lumi B x Capital T x Mc Kresha - LIVE IT UP (Prod By BIGDEAL RECORDS)","KLEPTO","2026-06-17T16:00:06Z","133208","2738","184","10","Music"
"GAp85rmonzE","Spider-Man Brand New Day Trailer 2 REACTION","Beyond The Trailer","2026-06-17T20:03:07Z","32851","2506","245","24","Entertainment"
"ZBRuM0AI7LI","STREAM 533","Jynxzi","2026-06-18T00:28:34Z","286789","4590","29","24","Entertainment"
"2grjQ1gQMsg","Kenny Loggins - Footloose (Lyrics)","Dead Radio Club","2026-06-10T13:18:38Z","13923","76","2","10","Music"
"enGM857RhNs","SPIDER-MAN Brand New Day NEW TRAILER BREAKDOWN! THIS IS PEAK!","The Cosmic Wonder","2026-06-17T20:16:28Z","25849","1469","238","1","Film & Animation"
"3abVd78_M7A","PUTT JAM TE LAO(official video) Prem Dhillon | Jenny Johal | The Kidd | MAJHAESTIC","Prem Dhillon","2026-06-19T08:30:06Z","1215501","88722","8642","10","Music"
